,gamma,A,beta,dv,dtheta,Pwin
73,1.05,0.448,5.2,-0.041503966629157674,-0.7990773693934727,0
74,1.05,0.448,5.2,-0.05092191552014386,0.19880318255174245,0
75,1.05,0.448,5.2,-0.021835832451193443,-2.2491857304567304,0
76,1.05,0.448,5.2,-0.040766972097970894,-0.0018027951457497693,0
77,1.05,0.448,5.2,-0.037058989714104956,-0.7798173417502596,1
78,1.05,0.448,5.2,-0.02150819524394748,-1.673764651300047,0
79,1.05,0.448,5.2,-0.027322559911123784,-1.2642302130563792,0
80,1.05,0.448,5.2,-0.036966975010073705,-0.6492612799310109,0
81,1.05,0.448,5.2,-0.028303163136867204,-0.5984857896354043,1
82,1.05,0.448,5.2,-0.03648416908767588,-0.546176723700853,0
83,1.05,0.448,5.2,-0.042956173942182124,-0.5825006556090386,0
84,1.05,0.448,5.2,-0.033939014461251915,-1.9775444681207972,0
85,1.05,0.448,5.2,-0.045954333628149796,0.4415558237517132,1
86,1.05,0.448,5.2,-0.034206455728878926,-0.4760102259366903,0
87,1.05,0.448,5.2,-0.03557688339185086,-1.0124908467264504,0
88,1.05,0.448,5.2,-0.04109344089683992,-0.4036199092731465,0
89,1.05,0.448,5.2,-0.022095249537828487,-2.2321704892239893,0
90,1.05,0.448,5.2,-0.03491543960970203,0.02073258384073995,1
91,1.05,0.448,5.2,-0.03290522316226191,-1.2784145781659788,1
92,1.05,0.448,5.2,-0.04488240124261164,0.9728832715641147,0
93,1.05,0.448,5.2,-0.03324181827261968,-1.226517679686637,0
94,1.05,0.448,5.2,-0.02985194836921673,-0.9778378286061411,0
95,1.05,0.448,5.2,-0.035183747646941155,-0.40467663869173975,0
96,1.35,0.6080000000000001,5.2,0.010295009038076591,-5.78236466991671,1
97,1.35,0.6080000000000001,5.2,0.007624114258734382,-5.583319960796054,1
98,1.35,0.6080000000000001,5.2,0.0019173644820914548,-6.199839035868031,0
99,1.35,0.6080000000000001,5.2,0.006384541496694929,-5.937142239302958,1
100,1.35,0.6080000000000001,5.2,0.0164388562985954,-7.2320399956231824,1
101,1.35,0.6080000000000001,5.2,0.0013258889149536657,-5.252727294445741,0
102,1.35,0.6080000000000001,5.2,0.004310223595123397,-5.330705446249773,1
103,1.35,0.6080000000000001,5.2,0.018982928443683433,-7.805758509327475,1
104,1.35,0.6080000000000001,5.2,0.006955958763928183,-5.7134364374051,1
105,1.35,0.6080000000000001,5.2,0.008496694170493174,-5.992573458040667,1
106,1.35,0.6080000000000001,5.2,0.0070570642739281875,-6.239102747286481,1
107,1.35,0.6080000000000001,5.2,0.0032226005968717664,-5.784583771560349,1
108,1.35,0.6080000000000001,5.2,0.01113030656201075,-5.758627347210421,1
109,1.35,0.6080000000000001,5.2,0.014625579687124746,-5.872092833958611,1
110,1.35,0.6080000000000001,5.2,0.003183802555206755,-5.524885920682941,0
111,1.35,0.6080000000000001,5.2,0.0030654501669840073,-5.290455971976137,1
112,1.35,0.6080000000000001,5.2,0.0024943842660266335,-5.180361675380354,0
113,1.35,0.6080000000000001,5.2,0.0012001067091682582,-5.1461394010726735,1
114,1.35,0.6080000000000001,5.2,0.005421759091243039,-5.4311776453748095,1
115,1.35,0.6080000000000001,5.2,0.002376496231415226,-4.73698181418176,0
116,1.35,0.6080000000000001,5.2,0.024886066582574057,-9.540111239491111,0
117,1.35,0.6080000000000001,5.2,0.005865156186221382,-5.6753253107543955,1
118,1.35,0.6080000000000001,5.2,0.007960618665347502,-4.897883298732459,0
119,1.35,0.6080000000000001,5.2,-0.00460732910791517,-4.7214308682764,0
120,1.35,0.6080000000000001,5.2,0.013652862517857633,-6.4032772623099135,1
121,1.35,0.6080000000000001,5.2,0.004565751582793542,-5.701470690291181,0
122,1.35,0.6080000000000001,5.2,0.001658802859442643,-5.40336870357492,0
123,1.35,0.6080000000000001,5.2,0.01365849347173445,-6.552579457228411,1
124,1.35,0.6080000000000001,5.2,0.009150185641238179,-5.946402192086914,0
125,1.35,0.6080000000000001,5.2,0.004972538755774553,-5.490098595319651,1
126,1.35,0.6080000000000001,5.2,0.002579379207045762,-5.232230022938268,1
127,1.35,0.6080000000000001,5.2,0.004217197596787875,-5.514464776077993,1
128,1.35,0.6080000000000001,5.2,0.0011052782760082869,-5.362643836648452,0
129,1.35,0.6080000000000001,5.2,0.011311596440720412,-5.842680073937878,0
130,1.35,0.6080000000000001,5.2,0.008020767859038186,-5.779303716061783,1
131,1.35,0.6080000000000001,5.2,0.0018342544550847828,-4.829557848633371,1
132,1.35,0.6080000000000001,5.2,0.00837512949512964,-6.1739300741783225,0
133,1.35,0.6080000000000001,5.2,0.007148400269591376,-6.121031192918899,0
134,1.35,0.6080000000000001,5.2,0.016784155517313243,-7.350665809494345,1
135,1.35,0.6080000000000001,5.2,0.009345708695374655,-6.274583807833238,0
136,1.35,0.6080000000000001,5.2,0.0025682538405508715,-5.722002608454304,1
137,1.35,0.6080000000000001,5.2,0.003170006385631391,-5.91446360165245,1
138,1.35,0.6080000000000001,5.2,0.005222132657695638,-5.668811725042325,1
139,1.35,0.6080000000000001,5.2,0.007618625250372518,-5.940660533587447,1
140,1.35,0.6080000000000001,5.2,-0.007870319072287912,-4.975747048323207,0
141,1.35,0.6080000000000001,5.2,0.006473530600005911,-5.918511476677956,0
142,1.35,0.6080000000000001,5.2,3.1434487167775194e-05,-6.174066471458168,0
143,1.35,0.6080000000000001,5.2,0.006885415987289728,-6.177303404401549,1
144,1.35,0.6080000000000001,5.2,0.003940214016100674,-5.319927504368152,1
145,1.35,0.6080000000000001,5.2,0.011843396527701028,-6.0340802852402575,1
146,1.35,0.6080000000000001,5.2,0.008172083210386594,-5.5826846848432226,1
147,1.35,0.6080000000000001,5.2,0.003775900766145507,-4.904586706451127,0
148,1.35,0.6080000000000001,5.2,0.0008618614173700467,-5.479447094080939,1
149,1.35,0.6080000000000001,5.2,0.0033787743727145825,-5.241427069994536,1
150,1.35,0.6080000000000001,5.2,0.009717673343025007,-6.344453603757984,1
151,1.35,0.6080000000000001,5.2,0.01037617965288437,-6.545488693301053,1
152,1.35,0.6080000000000001,5.2,0.009550354316286008,-6.232777000661777,1
153,1.35,0.6080000000000001,5.2,-0.0019868053219014026,-5.03983136256069,1
154,1.35,0.6080000000000001,5.2,0.014499172491447748,-7.025297056435868,1
155,1.35,0.6080000000000001,5.2,0.005489475959427281,-5.9231285082120095,1
156,1.35,0.6080000000000001,5.2,0.009226021103305532,-6.0951239115926725,1
157,1.35,0.6080000000000001,5.2,0.010070962200959682,-6.043777944222732,1
158,1.35,0.6080000000000001,5.2,0.007438264872193456,-6.518095748568939,1
159,1.35,0.6080000000000001,5.2,0.006245119759852702,-5.488664448396676,0
160,1.35,0.6080000000000001,5.2,0.010517171995456903,-6.212327490144446,0
161,1.35,0.6080000000000001,5.2,0.007496363449609467,-6.408034735336777,0
162,1.35,0.6080000000000001,5.2,0.008774971559433048,-5.786059305767374,1
163,1.35,0.6080000000000001,5.2,0.0009596242995044135,-5.513053394782752,1
164,1.35,0.6080000000000001,5.2,0.007188751265022442,-5.9720954745972605,0
165,1.35,0.6080000000000001,5.2,-0.00039904953106670304,-5.061668791913647,1
166,1.35,0.6080000000000001,5.2,0.0075208846240482075,-5.6001486560471605,1
167,1.35,0.6080000000000001,5.2,0.007765264669713223,-5.413645873183924,0
168,1.35,0.6080000000000001,5.2,0.010706943458762996,-6.219086428622795,0
169,1.35,0.6080000000000001,5.2,0.009270209033068771,-6.134831916934658,1
170,1.35,0.6080000000000001,5.2,0.011714429223587036,-6.49567156194874,1
171,1.35,0.6080000000000001,5.2,0.011447828607525523,-6.573916597603478,1
172,1.35,0.6080000000000001,5.2,-0.004434872382678423,-4.908205497228096,1
173,1.35,0.6080000000000001,5.2,0.012264976676585132,-5.762586524419305,1
174,1.35,0.6080000000000001,5.2,-0.0021125350606624738,-5.072393551524804,0
175,1.35,0.6080000000000001,5.2,0.0036457533720954394,-5.12195655062996,0
176,1.35,0.6080000000000001,5.2,0.011002633064157386,-6.863785871927803,1
177,1.35,0.6080000000000001,5.2,0.006093980474058208,-6.336349981261094,0
178,1.35,0.6080000000000001,5.2,0.006162803826237351,-5.65518307041652,1
179,1.35,0.6080000000000001,5.2,-0.0006668871256821363,-5.450000960323443,1
180,1.35,0.6080000000000001,5.2,0.013215367333366701,-6.853304407946936,1
181,1.35,0.6080000000000001,5.2,0.013287515035173808,-6.456997164540404,1
182,1.35,0.6080000000000001,5.2,0.0016073488656459523,-5.517633092767753,0
183,1.35,0.6080000000000001,5.2,0.013099232473679695,-6.026406966175209,1
184,1.35,0.6080000000000001,5.2,0.004910318293450205,-5.273102891586134,1
185,1.35,0.6080000000000001,5.2,0.00803832903797902,-5.928329658862019,1
186,1.35,0.6080000000000001,5.2,0.007641281565600927,-5.506638793706287,1
187,1.35,0.6080000000000001,5.2,0.0015975998308958572,-5.894223402074822,1
188,1.35,0.6080000000000001,5.2,0.0018407461310756268,-5.084716579754577,0
189,1.35,0.6080000000000001,5.2,0.009295711302298448,-5.865506313747964,1
190,1.35,0.6080000000000001,5.2,0.014982094523178724,-7.150479320196716,1
191,1.35,0.6080000000000001,5.2,0.005772929471591998,-5.473795934142437,0
192,1.5,0.512,6.4,0.02602059534559467,2.6520243282724323,0
193,1.5,0.512,6.4,0.01919433679085447,3.465410135163154,0
194,1.5,0.512,6.4,0.02273851021986073,2.557148929076348,1
195,1.5,0.512,6.4,0.031704430203597644,2.509732181406605,1
196,1.5,0.512,6.4,0.022647091964959343,2.605067342592946,1
197,1.5,0.512,6.4,0.02578362484391633,3.0761852826540235,1
198,1.5,0.512,6.4,0.022182397906233386,3.9763322192683574,1
199,1.5,0.512,6.4,0.014830780256311349,3.5201553127184013,0
200,1.5,0.512,6.4,0.02173583862078221,3.4672610826775525,1
201,1.5,0.512,6.4,0.028538712292460994,2.3770991778682315,0
202,1.5,0.512,6.4,0.022059416991155295,2.712570180306983,1
203,1.5,0.512,6.4,0.01551574196581118,4.52131512496203,1
204,1.5,0.512,6.4,0.006023414755295664,5.561260928340658,0
205,1.5,0.512,6.4,0.034112191024513044,2.5195080634148326,1
206,1.5,0.512,6.4,0.02206456078954916,3.2811726589876287,1
207,1.5,0.512,6.4,0.029493263649952528,2.261371839759363,0
208,1.5,0.512,6.4,0.027403500879201653,2.130068183247971,1
209,1.5,0.512,6.4,0.011809308799187068,4.535946734171432,0
