,gamma,A,beta,dv,dtheta,Pwin
91,1.05,0.448,5.2,-0.03207875319395698,-1.7918481376092643,1
92,1.05,0.448,5.2,-0.029881039513213747,-1.8620066475693022,1
93,1.05,0.448,5.2,-0.03450064848828677,-1.2193122508044496,0
94,1.05,0.448,5.2,-0.038727232694563796,0.01683388948467268,1
95,1.05,0.448,5.2,-0.03707586349229722,-0.4736924880334925,0
96,1.35,0.6080000000000001,5.2,0.009314397564465088,-5.967382683706511,0
97,1.35,0.6080000000000001,5.2,0.016555940705877598,-6.37892218778444,1
98,1.35,0.6080000000000001,5.2,0.00759106211644997,-5.984585016299079,1
99,1.35,0.6080000000000001,5.2,0.00299927462726976,-5.450477479467487,1
100,1.35,0.6080000000000001,5.2,0.008480871120203487,-5.691799955695579,0
101,1.35,0.6080000000000001,5.2,0.008310783838611363,-5.616026530078251,1
102,1.35,0.6080000000000001,5.2,0.014595137696283011,-7.207601254550049,0
103,1.35,0.6080000000000001,5.2,0.007952530744498532,-6.187407315992651,1
104,1.35,0.6080000000000001,5.2,0.011284528951766015,-6.151912964630576,1
105,1.35,0.6080000000000001,5.2,0.006499359564418217,-5.462146521601198,1
106,1.35,0.6080000000000001,5.2,-0.0072277474115020335,-4.340911535041506,0
107,1.35,0.6080000000000001,5.2,0.009250922647317528,-6.218563014993791,0
108,1.35,0.6080000000000001,5.2,0.006369180473888875,-5.701654237290292,1
109,1.35,0.6080000000000001,5.2,0.009435563477659198,-6.057071111014537,1
110,1.35,0.6080000000000001,5.2,0.008105544294308348,-6.384314469473296,1
111,1.35,0.6080000000000001,5.2,0.0011985328312611454,-5.214690634026134,1
112,1.35,0.6080000000000001,5.2,0.02282675208919288,-7.444769501983501,1
113,1.35,0.6080000000000001,5.2,0.008030479681914143,-6.119828488186975,1
114,1.35,0.6080000000000001,5.2,0.0046164132193849405,-5.902682284431286,1
115,1.35,0.6080000000000001,5.2,0.007262437572516545,-5.445601610373899,1
116,1.35,0.6080000000000001,5.2,-0.005573796987835,-4.746395276800698,1
117,1.35,0.6080000000000001,5.2,0.022510564617287038,-8.115935507330292,1
118,1.35,0.6080000000000001,5.2,0.014419301515568111,-6.666137490498848,1
119,1.35,0.6080000000000001,5.2,-0.009068621023735263,-3.7862856123927955,1
120,1.35,0.6080000000000001,5.2,0.00722631112756289,-5.36510221925802,1
121,1.35,0.6080000000000001,5.2,0.00440296156840933,-5.68151567471304,1
122,1.35,0.6080000000000001,5.2,0.008252204732885626,-6.172998823481052,0
123,1.35,0.6080000000000001,5.2,0.0028339552732388473,-5.616442662883642,1
124,1.35,0.6080000000000001,5.2,0.009246687997513658,-5.61519306112389,1
125,1.35,0.6080000000000001,5.2,0.0011312083804954076,-5.058889313181837,0
126,1.35,0.6080000000000001,5.2,0.011687728471124426,-6.578789858771849,1
127,1.35,0.6080000000000001,5.2,0.00182609905510836,-4.733132194687549,0
128,1.35,0.6080000000000001,5.2,0.010350350789106316,-5.6589717250027505,1
129,1.35,0.6080000000000001,5.2,0.0038279191473272745,-5.5567984643460875,1
130,1.35,0.6080000000000001,5.2,0.013169916996786352,-6.79718742613484,1
131,1.35,0.6080000000000001,5.2,0.009345268071325935,-5.782071437050853,1
132,1.35,0.6080000000000001,5.2,0.011698461209463246,-6.7505230687682385,1
133,1.35,0.6080000000000001,5.2,0.0025642783490664733,-4.94727832703542,1
134,1.35,0.6080000000000001,5.2,0.004817622730054066,-5.272408035650393,1
135,1.35,0.6080000000000001,5.2,0.01886727710314412,-6.680812921939669,1
136,1.35,0.6080000000000001,5.2,0.008029190964422367,-5.2178650143078045,1
137,1.35,0.6080000000000001,5.2,0.015622260303547048,-7.136110937680101,0
138,1.35,0.6080000000000001,5.2,0.01986160759923064,-7.228204169619929,1
139,1.35,0.6080000000000001,5.2,0.014109871296245607,-6.5241317647522195,1
140,1.35,0.6080000000000001,5.2,0.008441897315929842,-6.093858201194621,0
141,1.35,0.6080000000000001,5.2,0.007299177178537536,-5.638877968807904,1
142,1.35,0.6080000000000001,5.2,0.008627581233712406,-5.83987794936813,1
143,1.35,0.6080000000000001,5.2,0.020175880326526174,-7.686926940078166,0
144,1.35,0.6080000000000001,5.2,0.013413619376745622,-6.442853801668157,0
145,1.35,0.6080000000000001,5.2,0.010574300360828764,-5.428647658001097,1
146,1.35,0.6080000000000001,5.2,0.0037357769013557918,-5.848026826798964,1
147,1.35,0.6080000000000001,5.2,0.006271547547326867,-5.524513390091499,0
148,1.35,0.6080000000000001,5.2,0.0038131836156862497,-4.851550064945407,1
149,1.35,0.6080000000000001,5.2,0.003031689578954916,-5.447925520206148,1
150,1.35,0.6080000000000001,5.2,0.01600633508094909,-6.925388435490618,0
151,1.35,0.6080000000000001,5.2,0.01574540134709393,-7.53877264221272,1
152,1.35,0.6080000000000001,5.2,0.00439420563848536,-5.677138402550447,0
153,1.35,0.6080000000000001,5.2,0.004878949099342,-5.84582759027721,1
154,1.35,0.6080000000000001,5.2,0.007731654918445324,-5.631721011262215,0
155,1.35,0.6080000000000001,5.2,0.007348506656593867,-5.8803541046159395,0
156,1.35,0.6080000000000001,5.2,0.012400274158552438,-6.681557015443104,0
157,1.35,0.6080000000000001,5.2,-0.00033707105436531215,-5.2237159725114,1
158,1.35,0.6080000000000001,5.2,0.0019137135877761169,-5.560457323290727,0
159,1.35,0.6080000000000001,5.2,0.009413489957540627,-6.192460698719209,1
160,1.35,0.6080000000000001,5.2,0.01317999803661804,-5.953534690579382,0
